,public_date,gicdesc,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,pe_op_basic_Median,pe_op_dil_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median,PEG_1yrforward_Median,PEG_ltgforward_Median
1323,20100630,Financials,771,-0.082697,-0.0684,0.45,0.25,1.085,11.553,2.63,10.598,5.883,7.742,7.753,8.199,8.275,1.226,0.863,0.295,0.032,0.033,0.035,0,0.424,0.049,0.162,0.193,0.173,0.356,0.066,0.015,0.049,0.036,0.398,0.58,0.405,0.605,0,0.26,0.91,0.441,0.011,0.066,0.089,0.21,0.653,0.488,3.667,0.677,0.063,0.054,0.095,57.803,8.403,0.893,0.121,0.892,3.802,4.533,246.581,0.967,2.158,1.886,0.059,4.306,0.051,0.094,0.671,0.374,2.974,0.01,0,0.005,0.232,-0.019,1.023
1333,20100731,Financials,760,0.032495,0.065262,0.457,0.25,1.081,11.875,2.44,10.794,6.17,8.009,8.044,8.27,8.315,1.289,0.898,0.295,0.032,0.034,0.036,0,0.429,0.052,0.168,0.198,0.173,0.356,0.068,0.015,0.052,0.037,0.392,0.585,0.401,0.604,0,0.26,0.91,0.441,0.011,0.066,0.09,0.212,0.653,0.488,3.838,0.673,0.063,0.054,0.094,57.811,8.368,0.893,0.122,0.892,3.932,4.718,244.884,0.967,2.158,1.886,0.059,4.28,0.051,0.094,0.668,0.373,2.974,0.01,0,0.005,0.231,-0.025,1.036
1343,20100831,Financials,761,-0.073414,-0.087435,0.43,0.33,1.173,11.109,2.63,10.699,5.332,8.642,8.647,8.762,8.762,1.2,0.812,0.295,0.033,0.037,0.038,0,0.453,0.055,0.179,0.21,0.173,0.356,0.08,0.016,0.056,0.04,0.384,0.587,0.388,0.583,0,0.257,0.917,0.518,0.011,0.07,0.095,0.187,0.6,0.461,3.699,0.641,0.064,0.055,0.092,57.28,8.234,0.892,0.115,0.891,3.549,4.912,225.741,0.996,2.184,2.096,0.059,3.911,0.047,0.093,0.66,0.377,3.029,0.011,0,0.005,0.233,-0.012,1.044
1353,20100930,Financials,760,0.055611,0.066139,0.429,0.353,1.172,11.847,2.49,10.699,5.698,9.2,9.117,9.238,9.459,1.288,0.86,0.295,0.033,0.037,0.039,0,0.454,0.055,0.179,0.21,0.173,0.356,0.08,0.016,0.056,0.04,0.383,0.588,0.386,0.581,0,0.257,0.917,0.518,0.011,0.071,0.099,0.187,0.6,0.461,3.699,0.641,0.064,0.055,0.092,57.28,8.233,0.892,0.115,0.891,3.568,5.365,223.229,0.996,2.184,2.096,0.059,3.929,0.047,0.093,0.659,0.377,3.029,0.011,0,0.005,0.233,-0.011,1.163
1363,20101031,Financials,757,0.020839,0.014427,0.429,0.344,1.172,11.862,2.45,10.796,5.77,9.468,9.465,9.568,9.677,1.295,0.883,0.295,0.033,0.037,0.038,0,0.455,0.055,0.178,0.209,0.177,0.374,0.08,0.016,0.056,0.04,0.384,0.588,0.388,0.58,0,0.258,0.917,0.533,0.011,0.07,0.099,0.187,0.637,0.463,3.734,0.644,0.065,0.056,0.092,57.525,8.241,0.892,0.115,0.891,3.543,5.369,204.625,0.981,2.262,2.099,0.059,3.883,0.047,0.093,0.66,0.375,3.04,0.011,0,0.005,0.233,-0.016,1.174
1373,20101130,Financials,754,-0.004665,-0.005351,0.434,0.322,1.182,12.001,2.47,10.846,5.818,10.483,10.432,10.404,10.5,1.302,0.864,0.295,0.034,0.04,0.041,0,0.494,0.065,0.187,0.223,0.188,0.364,0.091,0.016,0.06,0.043,0.373,0.608,0.379,0.559,0,0.244,0.911,0.509,0.011,0.073,0.103,0.179,0.653,0.462,4.132,0.619,0.065,0.056,0.088,56.727,8.202,0.891,0.109,0.89,4.061,5.508,231.436,0.973,2.267,2.06,0.058,3.275,0.048,0.094,0.647,0.38,2.925,0.008,0,0.005,0.234,-0.003,1.246
1383,20101231,Financials,752,0.084829,0.118177,0.427,0.353,1.175,12.808,2.25,10.795,6.451,11.23,11.23,11.3,11.375,1.45,0.964,0.293,0.034,0.041,0.041,0,0.492,0.065,0.187,0.22,0.199,0.367,0.092,0.016,0.06,0.044,0.371,0.609,0.379,0.556,0,0.258,0.91,0.476,0.011,0.073,0.103,0.18,0.624,0.442,4.13,0.617,0.065,0.056,0.088,56.297,8.16,0.891,0.11,0.889,4.078,5.32,224.078,1.109,2.244,2.101,0.059,3.275,0.048,0.094,0.643,0.379,2.846,0.008,0,0.005,0.234,-0.003,1.335
1393,20110131,Financials,749,0.030893,0.020104,0.424,0.354,1.172,12.92,2.28,10.797,6.404,11.084,11.121,10.99,11.254,1.491,0.946,0.293,0.034,0.041,0.042,0,0.497,0.065,0.189,0.224,0.199,0.367,0.093,0.016,0.061,0.046,0.37,0.611,0.377,0.556,0,0.258,0.91,0.476,0.011,0.073,0.104,0.18,0.614,0.442,4.19,0.616,0.065,0.056,0.088,56.297,8.143,0.891,0.11,0.889,4.078,5.32,213.872,1.032,2.244,2.101,0.059,3.301,0.048,0.094,0.643,0.38,3.005,0.008,0,0.005,0.234,-0.003,1.298
1403,20110228,Financials,753,0.024825,0.023853,0.268,0.538,1.03,13.285,2.23,10.981,5.48,12.73,12.706,12.507,12.665,1.545,0.975,0.29,0.035,0.049,0.05,0,0.541,0.079,0.22,0.248,0.21,0.37,0.11,0.017,0.069,0.054,0.323,0.629,0.321,0.522,0,0.239,0.937,0.487,0.017,0.073,0.114,0.247,0.693,0.482,3.893,0.505,0.067,0.056,0.072,55.524,7.976,0.889,0.102,0.888,4.454,5.452,170.92,1.013,2.146,2.028,0.058,2.921,0.044,0.095,0.636,0.395,3.252,0.01,0,0.006,0.247,0.274,1.498
1413,20110331,Financials,752,-0.008491,-0.02242,0.264,0.562,1.028,13.26,2.26,10.992,5.536,12.566,12.532,12.412,12.517,1.589,0.979,0.291,0.035,0.049,0.05,0,0.542,0.079,0.222,0.251,0.21,0.37,0.11,0.017,0.069,0.053,0.322,0.629,0.321,0.525,0,0.239,0.938,0.487,0.017,0.073,0.115,0.247,0.693,0.482,3.921,0.505,0.067,0.056,0.072,55.443,7.971,0.889,0.103,0.887,4.405,5.452,166.65,1.013,2.241,2.038,0.058,2.929,0.043,0.095,0.635,0.394,3.252,0.01,0,0.006,0.246,0.291,1.512
